Energy__kWh_,Total_Duration_hours,Charging_Time_hours,Station_Name,Address,Zip_Postal_Code,Start_Hour,End_Hour,Day_of_Week,is_weekend,season
141.64,55.2986111,30.94416667,BOULDER / REC CENTER ST1,1360 Gillaspie Dr,80302,11,18,1,0,2
169.395,60.52555556,34.54111111,BOULDER / ATRIUM ST1,1360 Gillaspie Dr,80302,13,13,2,0,2
98.658,34.935,19.67027778,COMM VITALITY / 1000WALNUT1,900 Walnut St,80302,17,9,3,0,2
131.949,109.1433333,29.61888889,COMM VITALITY / 1000WALNUT2,900 Walnut St,80302,6,19,4,0,2
140.422,36.29,33.00305556,COMM VITALITY / 1500PEARL2,1500 Pearl St,80302,17,15,5,1,2
108.193,30.26972222,23.525,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,10,11,6,1,2
143.285,65.08722223,29.4125,BOULDER / ATRIUM ST1,1100 Spruce St,80302,6,8,0,0,2
172.116,64.90555556,36.03611111,BOULDER / BASELINE ST1,900 Walnut St,80302,13,13,1,0,2
118.379,49.84055556,26.07555556,COMM VITALITY / 1104 SPRUCE1,1100 Spruce St,80302,18,11,2,0,2
168.165,196.3116667,33.50111111,COMM VITALITY / 1000WALNUT2,900 Walnut St,80302,18,11,3,0,2
196.872,112.1169444,39.8275,COMM VITALITY / 1000WALNUT1,900 Walnut St,80302,8,11,4,0,2
83.466,22.17666667,18.09333333,BOULDER / ATRIUM ST1,900 Walnut St,80302,13,14,5,1,2
69.677,18.54194445,15.92666667,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,11,12,6,1,2
125.541,50.36194445,24.61333333,BOULDER / FACILITIES ST1,1100 Spruce St,80302,17,18,0,0,2
146.095,56.10972221,30.7325,BOULDER / REC CENTER ST1,1360 Gillaspie Dr,80302,14,17,1,0,2
113.035,51.97111111,23.17638889,COMM VITALITY / 1000WALNUT1,1500 Pearl St,80302,12,18,2,0,2
145.962,50.33972222,30.84555556,COMM VITALITY / 1104 SPRUCE1,1100 Spruce St,80302,18,14,3,0,2
146.657,104.4677778,31.05138889,COMM VITALITY / 1104 SPRUCE1,1100 Spruce St,80302,17,12,4,0,2
127.24,30.57388889,26.99361111,BOULDER / ATRIUM ST1,1770 13th St,80302,10,12,5,1,2
195.376,45.72694445,38.41833333,BOULDER / REC CENTER ST2,1360 Gillaspie Dr,80302,10,19,6,1,2
113.723,67.98638889,25.77805556,BOULDER / REC CENTER ST1,1360 Gillaspie Dr,80302,12,12,0,0,2
89.403,63.00055555,18.13,BOULDER / FACILITIES ST1,900 Walnut St,80302,12,13,1,0,2
195.131,61.85861111,33.70555556,BOULDER / REC CENTER ST1,1360 Gillaspie Dr,80302,17,17,2,0,2
169.67,157.6661111,34.79638889,BOULDER / FACILITIES ST1,1360 Gillaspie Dr,80302,17,9,3,0,2
189.589,39.64638889,36.51138889,COMM VITALITY / 1000WALNUT1,900 Walnut St,80302,12,15,4,0,2
95.974,28.45444445,22.19138889,COMM VITALITY / 1100WALNUT1,1500 Pearl St,80302,13,13,5,1,2
57.146,11.81055556,10.3425,COMM VITALITY / 1104 SPRUCE1,1100 Spruce St,80302,16,16,6,1,2
178.544,61.9363889,34.84888889,COMM VITALITY / 1000WALNUT1,900 Walnut St,80302,12,13,0,0,2
180.123,82.45833334,34.47527778,BOULDER / ALPINE ST1,900 Walnut St,80302,14,15,1,0,2
215.102,80.42111112,45.90722222,BOULDER / BASELINE ST1,1360 Gillaspie Dr,80302,11,14,2,0,2
220.954,74.18555555,52.255,BOULDER / N BOULDER REC 1,900 Walnut St,80302,13,11,3,0,2
209.496,50.99194445,42.01694444,COMM VITALITY / 1000WALNUT1,900 Walnut St,80302,8,12,4,0,2
149.436,77.58888889,36.18527778,BOULDER / ATRIUM ST1,1770 13th St,80302,13,12,5,1,2
82.723,21.49277778,17.11666667,BOULDER / N BOULDER REC 1,1360 Gillaspie Dr,80302,11,16,6,1,2
147.446,59.83222222,31.67416667,BOULDER / N BOULDER REC 1,1100 Spruce St,80302,8,10,0,0,2
155.187,65.48722223,31.89194445,BOULDER / REC CENTER ST2,1360 Gillaspie Dr,80302,8,16,1,0,2
146.43,60.32527778,32.96166667,COMM VITALITY / 1000WALNUT1,900 Walnut St,80302,8,12,2,0,2
102.392,49.91333333,25.74444445,COMM VITALITY / 1000WALNUT1,900 Walnut St,80302,16,9,3,0,2
160.541,135.9,36.67638889,COMM VITALITY / 1104 SPRUCE1,1100 Spruce St,80302,17,18,4,0,2
71.117,21.30944445,16.52333333,BOULDER / BASELINE ST1,1100 Walnut,80302,12,14,5,1,3
96.751,32.26944444,23.47916667,COMM VITALITY / 1400 WALNUT1,1400 Walnut St,80302,9,14,6,1,3
121.691,32.01611111,28.45833333,COMM VITALITY / 1500PEARL2,1500 Pearl St,80302,10,14,0,0,3
